Links,Bios,CyberSecurity(Y/N)
https://in.linkedin.com/in/satish-rao-33a6555,"Satish Rao. Chairman and Managing Director at Firmenich India. FirmenichHarvard Business School. Mumbai, Maharashtra, India. 8K ...",N
https://in.linkedin.com/in/navinmakhija,"Managing Director at Avighna India Ltd. Mumbai · Boman Rustom Irani. Chairman & Managing Director, Rustomjee Group | President, CREDAI (National). Mumbai ...",N
https://in.linkedin.com/in/ridham-desai-367a3375,"Ridham Desai. Managing Director at Morgan Stanley India. Morgan Stanley IndiaWelingkar Institute of Management. Mumbai, Maharashtra, India.",N
https://in.linkedin.com/in/yogesh-mudras-2069669,Experienced Managing Director with a demonstrated history of working in the ... Mumbai. Responsible for managing and leading entire India operations of UBM ...,N
https://in.linkedin.com/in/mumbai-shankar-4ba2b2116,Mumbai shankar · Managing Director at shankar chair · Report · Report · Experience · People also viewed · Explore collaborative articles · View Mumbai's full profile.,N
https://in.linkedin.com/in/tushar-sighat-64783626,Managing Director & CEO at D-Link India Limited and Chairman - Team F1 Networks India ... Rahaman Dewan. Managing Director at D-Link India Limited. Mumbai ...,N
https://in.linkedin.com/in/shishir-shrivastava-698421b,Managing Director at Dosti Realty Ltd. Mumbai Metropolitan Region · Rajendra Kalkar. President (Malls) & Whole Time Director at The Phoenix Mills Ltd. Mumbai ...,N
https://in.linkedin.com/in/krishna-rao-01012618,Director & Head - Technical & Derivatives Research at JM Financial Services Ltd. Mumbai · Anuj Kapoor. Managing Director & CEO - Private Wealth Group and ...,N
https://in.linkedin.com/in/babli-m-690897b6,Board Member. Scaling India and China businesses. Mumbai · Geetha Madhuri Punyala. Managing Director at DuFlora Agri Products Pvt Ltd. Hyderabad ...,N
https://in.linkedin.com/in/bharat-puri-403b563,"Bharat Puri. Managing Director at Pidilite Industries. Pidilite Industries LimitedIndian Institute of Management, Ahmedabad. Mumbai, Maharashtra, India.",N
https://in.linkedin.com/in/chirag-patel-55400a5b,"Managing Director. Maa Corporate Services. Sep 2019 - Present3 years 10 months. Mumbai Area, India. Department of Posts, India Graphic ...",N
https://in.linkedin.com/in/satish-kumar-73143421,"satish kumar. Managing Director at IMCD India. IMCD India. Mumbai, Maharashtra, India. 1 follower. Join to ...",N
https://in.linkedin.com/in/shreeram-gupta-79b703198,"Shreeram Gupta. Managing Director at Alcoa. Alcoa. Mumbai, Maharashtra, India. Join to view profile.",N
https://in.linkedin.com/in/nikunj-sanghani-85657111b,Managing Director at Dosti Realty Ltd. Mumbai Metropolitan Region · Chandresh Thakkar. Director. Mumbai · Pankaj Mishra. Managing ...,N
https://in.linkedin.com/in/noshinkagalwalla,Sudipta Sen. CEO and Managing Director at SAS Institute India (Pvt.) Ltd. Mumbai · Mahesh Bangera. Senior ...,N
https://in.linkedin.com/in/cyrus-desai-778729172,Managing Director at MAIL ORDER MANAGEMENT SERVICES MUMBAI PRIVATE LIMITED · Report · Report · Experience · People also viewed · Explore collaborative articles.,N
https://in.linkedin.com/in/raj-singh-a23a50128,"Managing Director,Entrepreneur And Visionary for Development of Real Estate & Infrastructure Projects. VJTI . Mumbai. Mumbai · Shyamalan Parambath. Managing ...",N
https://in.linkedin.com/in/shweta-jadhav-151bb5b7,"Shweta Jadhav. Managing Director at Indmark. IndmarkNMIMS Global Access School for Continuing Education. Mumbai, Maharashtra, India.",N
https://in.linkedin.com/in/sanjay-prasad-bb81bb20,Currently as Managing Director of a big European MNC in India | Learn more ... Director - South Asia & Thailand Region & Managing Director India. Mumbai ...,N
https://in.linkedin.com/in/varsha-shrikhande-13b23a26,"VARSHA SHRIKHANDE. Managing Director at Accenture in India. Accenture Services Pvt. Ltd.Harvard Business School Online. Mumbai, Maharashtra ...",N
https://in.linkedin.com/in/manju-mumbai-599037111,"View manju mumbai's profile on LinkedIn, the world's largest professional community. manju has 1 job listed on ... Managing Director at kk valves pvt. ltd.",N
https://in.linkedin.com/in/mickey-doshi-3ab6825,"Managing Director, APAC Financing Group at Credit Suisse. Mumbai · Sameer Sood. Managing Director, Investment Banking and Capital Markets at Credit Suisse.",N
https://in.linkedin.com/in/vikas-kulkarni-434b6511,Managing Director at Alkyl Amines Chemicals Ltd. Mumbai · Sudhir Namboodiri. Specification Manager - South Bostik India. Chennai · BALAJI AMINESLTD.,N
https://in.linkedin.com/in/suraj-kumar-496474199,"Suraj Kumar. Managing Director at Concentrix. Mumbai, Maharashtra, India. 3K followers 500+ connections. Join to view profile.",N
https://in.linkedin.com/in/nidhi-marwah-2b7bb820,"Nidhi Marwah. Group Managing Director-South Asia and GCC Managing Director-Global Accounts. The Executive Centre. Mumbai, Maharashtra, India.",N
https://in.linkedin.com/in/subhash-das-06a21525,"Executive Assistant to Managing Director. Raheja Universal Limited. Nov 1998 - Present24 years 8 months. Mumbai Area, India.",N
https://in.linkedin.com/in/psp-rao-47062414,"PSP Rao. Jt. Managing Director at Tecnimont Private Limited. Tecnimont Private LimitedAndhra University. Mumbai, Maharashtra, India.",N
https://in.linkedin.com/in/tony-berland-88352433,"Tony Berland. CEO & Managing Director chez Legrand Group India. Legrand (India). Mumbai, Maharashtra, India. 5K followers ...",N
https://in.linkedin.com/in/gaurav-mumbai-2b8471118,Managing Director at DS INFO MEDIA · Report · Report · Experience · People also viewed · Explore collaborative articles · Others named gaurav. MUMBAI · View gaurav.'s ...,N
https://in.linkedin.com/in/durgeshsharma,"Managing Director. CBC Corporation India Private Limited. Apr 2014 - Present9 years 3 months. Mumbai Area, India. CBC Co., Ltd. Graphic ...",N
https://in.linkedin.com/in/suresh-ramachandran-08961766,"Suresh Ramachandran. Country Head & Managing Director at Arkema India. Arkema IndiaSomaiya Institute of Management Studies. Mumbai, Maharashtra, ...",N
https://in.linkedin.com/in/suhel-seth-mumbai-85481a1aa,Suhel Seth Mumbai · Managing Director at Suhel Seth · Report · Report · Activity · Experience · People also viewed · Explore collaborative articles · View Suhel Seth's ...,N
https://in.linkedin.com/in/sandeep-joshi-9149a133,"Sandeep Joshi. Managing Director TIS RC Alstom. Alstom Transport. Mumbai, Maharashtra, India. 712 followers 500+ connections.",N
https://in.linkedin.com/in/jayatichakraborty,"Mumbai, Maharashtra, India ... Our Managing Director & CEO, Mr. Rajiv… ... Managing Director, Area Saudi Arabia at Hapag-Lloyd AG. Saudi Arabia ...",N
https://in.linkedin.com/in/balfourmanuel,"Balfour Manuel. Managing Director at Blue Dart. Blue DartUniversity of Mumbai. Mumbai, Maharashtra, India. 15K followers ...",N
https://in.linkedin.com/in/amoghdeshmukh,"Amogh Deshmukh. Managing Director. DDI IndiaJamnalal Bajaj Institute of Management Studies. Mumbai, Maharashtra, India. 8K followers ...",N
https://in.linkedin.com/in/im-rajeshkapoor,"Rajesh Kapoor. Former Managing Director, Fina Bank, Kenya. Kenpoly Manufacturers Ltd. Mumbai, Maharashtra, India. 345 followers ...",N
https://in.linkedin.com/in/alok-gupta-bb5449112,Managing Director at Bharat oversease mumbai · Report · Report · Experience · People also viewed · Explore collaborative articles · Others named Alok Gupta · View ...,N
https://in.linkedin.com/in/itsmihir,"Mihir Shah. Managing Director - India at Best Practices, LLC. Best Practices, LLCFordham Gabelli School of Business. Mumbai ...",N
https://in.linkedin.com/in/richa-singh-49a35b1,"Managing Director India & Middle East at Natural Diamond Council. Natural Diamond CouncilS.P. Jain Institute of Management & ... Mumbai, Maharashtra, India.",N
https://in.linkedin.com/in/deepakgoradia,MD & CEO Tata Realty & Infrastructure Ltd. Mumbai · Ajay Ashar. Chairman & managing director at Ashar realty pvt ltd. Mumbai ...,N
https://in.linkedin.com/in/vidyut-shah-b74b16b3,"Vidyut Shah. Managing Director, V. S. International Pvt. Ltd., India. V. S. International Pvt.Ltd. Mumbai, Maharashtra ...",N
https://in.linkedin.com/in/jayantroy,"Managing Director at Lindstrom India I Leadership I P&L I M&A I Growth Strategist. LindströmIIFM. Mumbai, Maharashtra, India. 3K followers 500+ connections.",N
https://in.linkedin.com/in/khasim-saheb-b9a28827,"Khasim Saheb. Managing Director - Primary Packaging Glass India and SEA. GerresheimerIndian Institute of Management, Lucknow. Mumbai, Maharashtra ...",N
https://in.linkedin.com/in/subhashgupta,Chairman and Managing Director at Mumbai Rail Vikas Corporation · Report · Report · Activity · Experience · Education · More activity by Subhash C · People also viewed ...,N
https://in.linkedin.com/in/shishir-baijal-02868160,"Managing Director at Dosti Realty Ltd. Mumbai Metropolitan Region · Mudassir Zaidi. Executive Director- North, Knight Frank India. Gurgaon ...",N
https://in.linkedin.com/in/biren-selarka-8a442452,"Biren Selarka. Managing Director at Acma Computers Ltd. ACMA Computers Ltd. Mumbai, Maharashtra, India. 3K followers ...",N
https://in.linkedin.com/in/sanjay-arora-61208b122,Managing Director at Siyaram Silk Mills Ltd. Mumbai · Rajesh Mandawewala. Group managing Director at Welspun Group. Mumbai · varun sharma.,N
https://in.linkedin.com/in/dilip-vaswani-2b7b63a8,"Total Graphic. Chairman & Managing Director | Total South Asia. Total. Aug 2016 - Feb 2020 3 years 7 months. Mumbai Area, India. Dilip Vaswani was the Chairman ...",N
https://in.linkedin.com/in/kinesh-jain-83ba88bb,Managing Director at Gera Developments Pvt. Ltd. Pune · Jitendra Sheth. Managing Director at Sheth Creators Pvt. Ltd. Mumbai ...,N
https://in.linkedin.com/in/chetanlal,"Managing Director - Gannett (USA Today - Digital Marketing). ReachLocalUniversity of Mumbai. Mumbai, Maharashtra, India. 1K followers 500+ connections.",N
https://in.linkedin.com/in/srinivas-rao-5869a63,"Managing Director Life and Health. Munich Re India Branch. Feb 2017 - Present6 years 5 months. Mumbai Area, India. Munich Re India Services Private Limited ...",N
https://in.linkedin.com/in/bala-kl-5397a3108,"Bala KL. Managing Director at SUBALAKSHA MOTORS PVT LTD. Subalaksha. Mumbai, Maharashtra, India. 3K followers 500+ ...",N
https://in.linkedin.com/in/ashish-iyer-5841a5,"Ashish Iyer. Managing Director at Mistry Ventures. Mistry VenturesLondon School of Economics and Political Science. Mumbai, Maharashtra, India.",N
https://in.linkedin.com/in/sanjeev-taparia-ab7a26212,"Sanjeev Taparia. Managing Director at Famy Care Ltd & Famy Life Sciences. Famy Care Ltd., Mumbai. Mumbai, Maharashtra, India. 25 followers 12 connections.",N
https://in.linkedin.com/in/deepak-kamat-563a8a10,"Deepak Kamat. Managing Director at Serac India. SeracMBA-INTERNATIONAL BUSINESS. Mumbai, Maharashtra, India. 573 followers ...",N
https://in.linkedin.com/in/p-j-nath-0474095,Managing Director at Alkyl Amines Chemicals Ltd. Mumbai · Malav Shah. CFO - Nelco Limited. Mumbai · Pooja Johar.,N
https://in.linkedin.com/in/vishal-jumani-a4aa199,Ramesh Bijlani. Chairman at Supreme Universal Pvt. Ltd. Mumbai · Jitendra Sheth. Managing Director at Sheth Creators Pvt.,N
https://in.linkedin.com/in/rajesh-agarwal-5707451,Managing Director at Gera Developments Pvt. Ltd. Pune · Milind Korde. Director. Mumbai · Anshuman Magazine. Chairman ...,N
https://in.linkedin.com/in/rahul-tikoo-baa4364,"Mumbai, Maharashtra, India ... Managing Director India | President Asia | Global VP | Management Board ... Vikas Kulkarni. Managing Director. Mumbai ...",N
https://in.linkedin.com/in/sanjay-joshi-55388539,"Managing Director (Aker Powergas). Aker Solutions. Apr 2010 - Aug 2017 7 years 5 months. Mumbai Area, India. Aker Solutions Graphic ...",N
https://in.linkedin.com/in/vinay-sanghvi-30494378,"Managing Director at Avighna India Ltd. Mumbai · Ankit Vora. Owner, Sambhav Timbers. Mumbai · Sanjay Devnani.",N
https://in.linkedin.com/in/rajesh-joshi-607b303a,"Rajesh Joshi. Managing Director at STP Limited, A Berger group company. STP LimitedUniversity of Mumbai. Mumbai, Maharashtra, ...",N
https://in.linkedin.com/in/anil-prabhakaran-8862b421,Managing Director. Sysmex India Pvt. Ltd. Apr 2013 - Present10 years 3 months. Mumbai. I am developing an organisation capable of metamorphosis from support ...,N
https://in.linkedin.com/in/shekhar-joshi-28528916,"Shekhar Joshi. Managing Director at Chugoku Paints (India) Pvt Ltd. Chugoku Marine Paints, LtdUniversity of Mumbai. Mumbai ...",N
https://in.linkedin.com/in/mohitmalhotra,Managing Director at Dosti Realty Ltd. Mumbai Metropolitan Region · Aditya Kedia. Managing Director. Mumbai · Parag Munot.,N
https://in.linkedin.com/in/kartik-nagarajan-aa7a816,Managing Director. Nexdigm (Formerly SKP). Jan 2020 - Present3 years 6 months. Mumbai Metropolitan Region. Develop high quality business strategies and ...,N
https://in.linkedin.com/in/samir-jain-48312312,"Bunge Ltd Graphic. Managing Director. Bunge Ltd. Apr 2013 - Present10 years 3 months. Mumbai Area, India · Hindustan Unilever Ltd Graphic. Vice President Laundry.",N
https://in.linkedin.com/in/hiten-parekh-24b1364b,"Hiten Parekh. Managing Director at Nilkamal Limited. Nilkamal Limited. Mumbai, Maharashtra, India. 38 followers 5 connections.",N
https://in.linkedin.com/in/vivek-gaidhani-7083071a,"Vivek Gaidhani. Managing Director (Country Head) at Advanced Energy. Advanced EnergyWelingkar Institute of Management. Mumbai, Maharashtra, ...",N
https://in.linkedin.com/in/hemant-jhaveri-a311a832,"People also viewed · Seema Mehrotra. Managing Director. Mumbai · Kinjal Shah. Managing Director. Mumbai · Snigdha Yalamanchili. Managing Director. Andhra Pradesh, ...",N
https://in.linkedin.com/in/venksin,"Venkatesh R. Managing Director & Director Energy Business at Wartsila India Private Ltd. Wartsila India Private LtdScils. Mumbai, Maharashtra ...",N
https://in.linkedin.com/in/ajay-bali-98b6114,"BCD Travel India p ltdUniversity of Mumbai. Mumbai, Maharashtra, India ... Managing Director, Singapore & Australia at BCD Travel Asia Pacific. Singapore ...",N
https://in.linkedin.com/in/vivek-sarin-a1946a89,"Ex Managing Director. Mumbai, India. 1980 - Present43 years. Mumbai Area, India. Experienced in products of Brand identification(Labels, Paper Printed ...",N
https://in.linkedin.com/in/vikasmoondra,"Managing Director. Sterling Lomax Project Services India Private Limited. Jun 2007 - Present16 years 1 month. Mumbai Area, India.",N
https://in.linkedin.com/in/vipul-ghelani-5b676854,"Perfect House Pvt Ltd.Mumbai University Mumbai. Mumbai, Maharashtra, India. 207 followers 190 connections ... Ronnie Goveas. Managing Director. Mumbai ...",N
https://in.linkedin.com/in/usha-sangwan-71637478,"Usha Sangwan. Managing Director at Life Insurance Corporation of India. Life Insurance Corporation of IndiaAsian School of Management. Mumbai, ...",N
https://in.linkedin.com/in/parvesh-sharma-45ba723,"Parvesh Sharma. Managing Director & Country Head at Tishman Speyer. Tishman SpeyerSymbiosis Institute of Management Studies. Mumbai, Maharashtra, ...",N
https://in.linkedin.com/in/vikas-mumbai-5833a811a?trk=pub-pbmap,Managing Director at Basp chemical · Report · Report · Experience · People also viewed · Explore collaborative articles · Others named Vikas mumbai · View Vikas' full ...,N
https://in.linkedin.com/in/anshul-chopra-b8082513,"Anshul Chopra. Managing Director at Indian Electrcial Industries. Indian Electrical Industries. Mumbai, Maharashtra, India. 221 followers 218 ...",N
https://in.linkedin.com/in/ramniwas-mumbai-41907b114,Ramniwas Mumbai · Managing Director at padmavatiinteriors · Report · Report · Experience · Looking for career advice? · View Ramniwas' full profile.,N
https://in.linkedin.com/in/nehal-vora-33829026,MD & CEO at Metropolitan Stock Exchange of India Ltd. Mumbai · J N Gupta. Managing Director at Stakeholders Empowerment Services. Mumbai · Balu Nair.,N
https://in.linkedin.com/in/rajendra-agarwal-b2857a3a,Managing Director at Siyaram Silk Mills Ltd. Mumbai · Ram Malu. Managing Director at Jugal Group. India · Vinod Padmanabhan.,N
https://in.linkedin.com/in/shekhar-jagtap-28426312,"Managing Director at Georg Fischer Piping Systems ... Mumbai, Maharashtra, India ... SPK CORPORATION - GF dealer at Mumbai- Supply HDPE Fittings ...",N
https://in.linkedin.com/in/ushal-patel-82662b20,"Ushal Patel. Managing Director at Greentech Solutions. Greentech SolutionsIndira Institute Of Management. Mumbai, Maharashtra, India. 406 ...",N
https://in.linkedin.com/in/hemant-sood-5486142a,"Hemant Sood. Managing Director & Director - Sales at Diebold Nixdorf, India. Diebold NixdorfLucknow University. Mumbai, Maharashtra, ...",N
https://in.linkedin.com/in/b-thiagarajan-066591a,"Mumbai, Maharashtra, India ... suneel advani. Chairman Of The Board at Blue Star Limited. Mumbai ... B.Thiyagarajan Managing Director-Ace Metro.",N
https://in.linkedin.com/in/ranjit-ss-dhody-318360192,Experience · BeautexWood Graphic. Managing Director. BeautexWood. Apr 2019 - Present4 years 3 months. MUmbai · Beautex Industries Pvt Ltd Graphic. Managing ...,N
https://in.linkedin.com/in/rahil-shaikh-357232172,Ranjeet Singh. Managing Director at RB International Shipping Pvt. Ltd. Mumbai · Nilesh Shinde. Head Of Business Development at ...,N
